user_id,location_id,x,y,distance,Rx_power
1,1,93.35,11.85,12.1422836814,-96.34
2,2,91.12,11.85,10.2961435985,-92.18
3,3,88.58,11.85,8.4227865342,-89.8
4,4,88.58,14.74,6.5651407449,-78.28
6,6,91.12,15.96,8.4515698542,-92.92
7,7,90.96,14.59,8.7528654165,-87.72
8,8,88.58,17.93,5.6359394071,-68.74
9,9,86.35,17.93,3.4078634069,-63.08
10,10,86.35,15.65,4.2002205895,-74.78
11,11,86.35,13.83,5.4695459592,-78.02
12,12,83.17,18.39,0.3563888326,-73.44
14,14,83.01,17.02,1.093815798,-61.04
15,15,81.42,17.33,1.7155911518,-74.38
16,16,79.67,18.69,3.3275836579,-84.76
17,17,81.26,15.35,3.2364506794,-73.96
18,18,82.69,13.98,4.1399846618,-71.03333333
19,19,83.01,20.82,2.7087327295,-72.53333333
20,20,83.01,22.95,4.8384101728,-76.06666667
22,22,80.47,21.13,3.9043377159,-81.13333333
23,23,87.46,18.69,4.549862965,-82.13333333
24,24,87.78,21.43,5.8623385266,-79.53333333
25,25,87.78,23.41,7.1712406876,-77.76666667
26,26,84.92,19.91,2.6693694012,-75.53333333
27,27,78.56,18.85,4.4486417028,-88.66666667
28,28,78.56,20.37,4.9339976692,-82.93333333
29,29,76.97,17.63,5.9964033387,-79.13333333
30,30,77.6,14.59,6.4027254353,-87.43333333
31,31,75.69,14.59,7.3226275339,-84.03333333
32,33,76.49,16.41,6.6775484274,-86.56666667
33,34,76.65,13.22,7.7309995473,-90.16666667
34,35,78.56,16.41,4.7055895486,-83.1
35,36,78.72,13.07,6.5794599322,-79.86666667
36,37,78.56,14.59,5.6258557571,-81.63333333
37,38,80.47,14.89,4.0640882126,-75.86666667
38,39,76.81,19.3,6.250928971,-86.2
39,40,78.56,17.48,4.4322898145,-80.73333333
41,42,82.69,11.7,6.4171483542,-87.23333333
42,43,82.85,10.34,7.7726052904,-95.4
43,44,82.85,8.97,9.1425145885,-84.2
44,45,82.85,7.14,10.9724287649,-89
45,46,82.85,5.62,12.4923765953,-90.26666667
46,47,83.01,4.41,13.7021448321,-87.76666667
48,49,84.6,8.82,9.4378849855,-86.93333333
49,50,87.3,8.82,10.2610853714,-96.23333333
