user_id,location_id,x,y,serving_cell_id,Rx_power
1,1,93.35,11.85,5,-96.34
2,2,91.12,11.85,5,-92.18
3,3,88.58,11.85,5,-89.8
4,4,88.58,14.74,5,-78.28
6,6,91.12,15.96,5,-92.92
7,7,90.96,14.59,5,-87.72
8,8,88.58,17.93,5,-68.74
9,9,86.35,17.93,5,-63.08
10,10,86.35,15.65,5,-74.78
11,11,86.35,13.83,5,-78.02
12,12,83.17,18.39,5,-73.44
14,14,83.01,17.02,5,-61.04
15,15,81.42,17.33,5,-74.38
16,16,79.67,18.69,5,-84.76
17,17,81.26,15.35,5,-73.96
18,18,82.69,13.98,5,-71.03333333
19,19,83.01,20.82,5,-72.53333333
20,20,83.01,22.95,5,-76.06666667
22,22,80.47,21.13,5,-81.13333333
23,23,87.46,18.69,5,-82.13333333
24,24,87.78,21.43,5,-79.53333333
25,25,87.78,23.41,5,-77.76666667
26,26,84.92,19.91,5,-75.53333333
27,27,78.56,18.85,5,-88.66666667
28,28,78.56,20.37,5,-82.93333333
29,29,76.97,17.63,5,-79.13333333
30,30,77.6,14.59,5,-87.43333333
31,31,75.69,14.59,5,-84.03333333
32,33,76.49,16.41,5,-86.56666667
33,34,76.65,13.22,5,-90.16666667
34,35,78.56,16.41,5,-83.1
35,36,78.72,13.07,5,-79.86666667
36,37,78.56,14.59,5,-81.63333333
37,38,80.47,14.89,5,-75.86666667
38,39,76.81,19.3,5,-86.2
39,40,78.56,17.48,5,-80.73333333
41,42,82.69,11.7,5,-87.23333333
42,43,82.85,10.34,5,-95.4
43,44,82.85,8.97,5,-84.2
44,45,82.85,7.14,5,-89
45,46,82.85,5.62,5,-90.26666667
46,47,83.01,4.41,5,-87.76666667
48,49,84.6,8.82,5,-86.93333333
49,50,87.3,8.82,5,-96.23333333
50,51,88.73,8.82,5,-97.2
52,53,91.44,8.82,5,-96.96666667
53,54,92.55,8.82,5,-96.1
54,55,92.55,10.03,5,-92.53333333
55,56,89.69,10.03,5,-101.3
56,57,87.62,10.03,5,-97.56666667
57,58,92.39,7.9,5,-103.6333333
58,59,88.58,7.9,5,-101.8333333
59,60,84.44,9.73,5,-88.8
60,61,84.6,7.9,5,-94.66666667
61,62,84.44,3.5,5,-97.4
62,63,85.87,3.5,5,-99.56666667
63,64,85.71,4.71,5,-98.16666667
64,65,87.3,3.5,5,-102.4666667
65,66,88.89,3.5,5,-105.6333333
66,67,86.83,4.71,5,-101.3666667
67,68,81.58,3.34,5,-99.43333333
68,69,80.47,3.34,5,-101.7666667
69,70,79.19,3.34,5,-103.9
71,72,76.33,3.34,5,-106.7333333
72,73,75.06,3.5,3,-103.2333333
73,"74""",79.35,2.13,5,-105.6333333
74,"75""",77.76,2.28,5,-103.8
76,74,74.26,3.5,3,-103.4
78,76,74.26,5.47,3,-97.16666667
79,77,74.9,5.02,3,-97.7
80,78,74.9,4.26,3,-93.63333333
81,79,76.33,4.26,3,-104.9333333
82,80,76.33,5.17,3,-108.5
83,81,72.99,3.5,3,-92.63333333
84,82,71.72,4.26,3,-97.2
85,83,71.88,3.5,3,-100.3
86,84,70.77,3.5,3,-96.3
87,85,69.49,3.5,3,-94.46666667
88,86,69.49,4.1,3,-94.86666667
89,87,69.33,5.02,3,-92.1
90,88,70.77,5.17,3,-91.7
92,90,71.72,5.02,3,-97
93,91,73.15,5.17,3,-97.5
94,92,73.15,4.41,3,-96.83333333
95,93,68.54,3.5,3,-101.9666667
96,94,67.58,3.5,3,-103.1
98,96,65.04,3.5,3,-106.5
99,97,63.93,3.5,3,-106.1666667
100,98,64.09,2.74,3,-122.2666667
101,99,64.25,1.37,3,-123.4
103,101,62.34,0.15,3,-129.1333333
104,102,60.59,0.15,3,-129.9
105,103,60.59,1.37,3,-125.0333333
106,104,60.59,2.58,3,-128.7666667
107,105,62.34,2.58,3,-130
108,106,64.25,0.3,3,-131.6333333
109,107,64.25,4.71,3,-103.4666667
110,108,66.31,4.71,3,-101.6666667
111,109,65.04,4.71,3,-105.1333333
112,110,68.06,4.71,3,-105.9
113,111,69.97,6.38,3,-90.23333333
114,112,69.97,7.45,3,-89.2
115,113,69.81,8.66,3,-82.86666667
116,114,69.97,10.49,3,-81.9
118,116,72.2,8.36,3,-89.26666667
119,117,74.42,8.36,3,-97.93333333
120,118,76.33,8.51,3,-99.23333333
121,119,78.56,8.51,5,-93
122,120,80.31,8.36,5,-90.63333333
123,121,80.47,9.58,5,-90.9
124,122,80.47,6.99,5,-91.33333333
125,123,78.72,6.99,5,-96.7
126,124,77.76,9.27,5,-95.46666667
127,125,73.63,9.27,3,-90.3
128,126,71.08,9.42,3,-87.1
129,127,71.08,7.14,3,-92.76666667
130,128,67.74,6.38,3,-94.86666667
131,129,66.31,7.9,3,-91.63333333
132,130,65.36,6.69,3,-98.43333333
133,131,66.15,8.97,3,-93.16666667
134,132,63.45,6.38,3,-102.3333333
135,133,62.81,6.99,3,-95.4
136,134,62.66,8.82,3,-102.8333333
138,136,60.91,6.69,3,-105.2333333
139,137,60.91,5.02,3,-106.9
140,138,61.06,3.8,3,-111.6
142,140,59.63,6.38,2,-118.7333333
143,141,59.63,8.51,2,-110.8666667
144,142,80.62,11.85,5,-84.46666667
145,143,78.72,11.7,5,-88.5
146,144,74.9,11.85,3,-78.4
147,145,72.67,11.85,3,-76.7
148,146,70.45,11.85,3,-68.1
149,147,67.74,11.85,3,-75.46666667
150,148,65.68,11.85,3,-86.16666667
152,150,61.38,11.85,3,-99.13333333
153,151,59.47,11.85,3,-96.8
154,152,57.73,11.85,3,-97.3
155,153,55.18,11.85,2,-93.43333333
156,154,55.34,19.91,2,-90.1
157,155,57.25,19.91,2,-92.3
159,157,61.22,19.76,2,-108.5666667
160,158,63.93,19.91,2,-114.4
161,159,66.15,20.06,2,-114.4333333
162,160,68.54,20.06,3,-106.9333333
163,161,65.04,21.73,2,-114.3666667
164,162,67.27,21.73,5,-103.3666667
166,164,69.33,23.25,5,-104.5
167,165,72.2,21.73,5,-96.36666667
168,166,74.26,21.73,3,-104.8
169,167,60.59,18.54,2,-121.3
170,168,62.5,17.33,2,-124.9
171,169,62.5,15.96,2,-129.3666667
172,170,70.45,13.83,3,-89.56666667
173,171,70.29,15.2,3,-93.93333333
174,172,70.29,17.17,5,-92.76666667
175,173,70.29,18.54,5,-89.83333333
