user_id,location_id,user_x,user_y,cell_x,cell_y,cell_power,serving_cell_id,serving_Rx
1,1(2018.02.06_right),93.35,11.85,82.947,18.112,19,5,-96.34
2,2,91.12,11.85,82.947,18.112,19,5,-92.18
3,3,88.58,11.85,82.947,18.112,19,5,-89.8
4,4,88.58,14.74,82.947,18.112,19,5,-78.28
5,5,88.58,16.57,82.947,18.112,19,5,-76.98
6,6,91.12,15.96,82.947,18.112,19,5,-92.92
7,7,90.96,14.59,82.947,18.112,19,5,-87.72
8,8,88.58,17.93,82.947,18.112,19,5,-68.74
9,9,86.35,17.93,82.947,18.112,19,5,-63.08
10,10,86.35,15.65,82.947,18.112,19,5,-74.78
11,11,86.35,13.83,82.947,18.112,19,5,-78.02
12,12,83.17,18.39,82.947,18.112,19,5,-73.44
13,13,81.26,18.69,82.947,18.112,19,5,-72.04
14,14,83.01,17.02,82.947,18.112,19,5,-61.04
15,15,81.42,17.33,82.947,18.112,19,5,-74.38
16,16,79.67,18.69,82.947,18.112,19,5,-84.76
17,17,81.26,15.35,82.947,18.112,19,5,-73.96
18,18,82.69,13.98,82.947,18.112,19,5,-71.03333333
19,19,83.01,20.82,82.947,18.112,19,5,-72.53333333
20,20,83.01,22.95,82.947,18.112,19,5,-76.06666667
21,21,80.47,22.65,82.947,18.112,19,5,-79.5
22,22,80.47,21.13,82.947,18.112,19,5,-81.13333333
23,23,87.46,18.69,82.947,18.112,19,5,-82.13333333
24,24,87.78,21.43,82.947,18.112,19,5,-79.53333333
25,25,87.78,23.41,82.947,18.112,19,5,-77.76666667
26,26,84.92,19.91,82.947,18.112,19,5,-75.53333333
27,27,78.56,18.85,82.947,18.112,19,5,-88.66666667
28,28,78.56,20.37,82.947,18.112,19,5,-82.93333333
29,29,76.97,17.63,82.947,18.112,19,5,-79.13333333
30,30,77.6,14.59,82.947,18.112,19,5,-87.43333333
31,31,75.69,14.59,69.175,11.247,19,5,-84.03333333
32,33,76.49,16.41,82.947,18.112,19,5,-86.56666667
33,34,76.65,13.22,69.175,11.247,19,5,-90.16666667
34,35,78.56,16.41,82.947,18.112,19,5,-83.1
35,36,78.72,13.07,82.947,18.112,19,5,-79.86666667
36,37,78.56,14.59,82.947,18.112,19,5,-81.63333333
37,38,80.47,14.89,82.947,18.112,19,5,-75.86666667
38,39,76.81,19.3,82.947,18.112,19,5,-86.2
39,40,78.56,17.48,82.947,18.112,19,5,-80.73333333
40,41,86.19,11.85,82.947,18.112,19,5,-87.1
41,42,82.69,11.7,82.947,18.112,19,5,-87.23333333
42,43,82.85,10.34,82.947,18.112,19,5,-95.4
43,44,82.85,8.97,82.947,18.112,19,5,-84.2
44,45,82.85,7.14,82.947,18.112,19,5,-89
45,46,82.85,5.62,82.947,18.112,19,5,-90.26666667
46,47,83.01,4.41,82.947,18.112,19,5,-87.76666667
47,48,82.85,3.34,82.947,18.112,19,5,-92.36666667
48,49,84.6,8.82,82.947,18.112,19,5,-86.93333333
49,50,87.3,8.82,82.947,18.112,19,5,-96.23333333
50,51,88.73,8.82,82.947,18.112,19,5,-97.2
51,52,90.17,8.82,82.947,18.112,19,5,-99.23333333
52,53,91.44,8.82,82.947,18.112,19,5,-96.96666667
53,54,92.55,8.82,82.947,18.112,19,5,-96.1
54,55,92.55,10.03,82.947,18.112,19,5,-92.53333333
55,56,89.69,10.03,82.947,18.112,19,5,-101.3
56,57,87.62,10.03,82.947,18.112,19,5,-97.56666667
57,58,92.39,7.9,82.947,18.112,19,5,-103.6333333
58,59,88.58,7.9,82.947,18.112,19,5,-101.8333333
59,60,84.44,9.73,82.947,18.112,19,5,-88.8
60,61,84.6,7.9,82.947,18.112,19,5,-94.66666667
61,62,84.44,3.5,82.947,18.112,19,5,-97.4
62,63,85.87,3.5,82.947,18.112,19,5,-99.56666667
63,64,85.71,4.71,82.947,18.112,19,5,-98.16666667
64,65,87.3,3.5,82.947,18.112,19,5,-102.4666667
65,66,88.89,3.5,82.947,18.112,19,5,-105.6333333
66,67,86.83,4.71,82.947,18.112,19,5,-101.3666667
67,68,81.58,3.34,69.175,11.247,19,5,-99.43333333
68,69,80.47,3.34,69.175,11.247,19,5,-101.7666667
69,70,79.19,3.34,69.175,11.247,19,5,-103.9
70,71,77.76,3.34,69.175,11.247,19,5,-105.4666667
71,72,76.33,3.34,69.175,11.247,19,5,-106.7333333
72,73,75.06,3.5,69.175,11.247,19,3,-103.2333333
73,"74""",79.35,2.13,69.175,11.247,19,5,-105.6333333
74,"75""",77.76,2.28,69.175,11.247,19,5,-103.8
75,"76""",77.76,1.22,69.175,11.247,19,5,-105.2
76,74,74.26,3.5,69.175,11.247,19,3,-103.4
77,75,74.26,4.56,69.175,11.247,19,3,-100.0666667
78,76,74.26,5.47,69.175,11.247,19,3,-97.16666667
79,77,74.9,5.02,69.175,11.247,19,3,-97.7
80,78,74.9,4.26,69.175,11.247,19,3,-93.63333333
81,79,76.33,4.26,69.175,11.247,19,3,-104.9333333
82,80,76.33,5.17,69.175,11.247,19,3,-108.5
83,81,72.99,3.5,69.175,11.247,19,3,-92.63333333
84,82,71.72,4.26,69.175,11.247,19,3,-97.2
85,83,71.88,3.5,69.175,11.247,19,3,-100.3
86,84,70.77,3.5,69.175,11.247,19,3,-96.3
87,85,69.49,3.5,69.175,11.247,19,3,-94.46666667
88,86,69.49,4.1,69.175,11.247,19,3,-94.86666667
89,87,69.33,5.02,69.175,11.247,19,3,-92.1
90,88,70.77,5.17,69.175,11.247,19,3,-91.7
91,89,70.77,4.26,69.175,11.247,19,3,-92.9
92,90,71.72,5.02,69.175,11.247,19,3,-97
93,91,73.15,5.17,69.175,11.247,19,3,-97.5
94,92,73.15,4.41,69.175,11.247,19,3,-96.83333333
95,93,68.54,3.5,69.175,11.247,19,3,-101.9666667
96,94,67.58,3.5,69.175,11.247,19,3,-103.1
97,95,66.31,3.5,69.175,11.247,19,3,-102.6333333
98,96,65.04,3.5,69.175,11.247,19,3,-106.5
99,97,63.93,3.5,69.175,11.247,19,3,-106.1666667
100,98,64.09,2.74,69.175,11.247,19,3,-122.2666667
101,99,64.25,1.37,69.175,11.247,19,3,-123.4
102,100,62.34,1.37,69.175,11.247,19,3,-126.1666667
103,101,62.34,0.15,69.175,11.247,19,3,-129.1333333
104,102,60.59,0.15,69.175,11.247,19,3,-129.9
105,103,60.59,1.37,69.175,11.247,19,3,-125.0333333
106,104,60.59,2.58,69.175,11.247,19,3,-128.7666667
107,105,62.34,2.58,69.175,11.247,19,3,-130
108,106,64.25,0.3,69.175,11.247,19,3,-131.6333333
109,107,64.25,4.71,69.175,11.247,19,3,-103.4666667
110,108,66.31,4.71,69.175,11.247,19,3,-101.6666667
111,109,65.04,4.71,69.175,11.247,19,3,-105.1333333
112,110,68.06,4.71,69.175,11.247,19,3,-105.9
113,111,69.97,6.38,69.175,11.247,19,3,-90.23333333
114,112,69.97,7.45,69.175,11.247,19,3,-89.2
115,113,69.81,8.66,69.175,11.247,19,3,-82.86666667
116,114,69.97,10.49,69.175,11.247,19,3,-81.9
117,115,71.08,8.36,69.175,11.247,19,3,-87.23333333
118,116,72.2,8.36,69.175,11.247,19,3,-89.26666667
119,117,74.42,8.36,69.175,11.247,19,3,-97.93333333
120,118,76.33,8.51,69.175,11.247,19,3,-99.23333333
121,119,78.56,8.51,69.175,11.247,19,5,-93
122,120,80.31,8.36,82.947,18.112,19,5,-90.63333333
123,121,80.47,9.58,82.947,18.112,19,5,-90.9
124,122,80.47,6.99,82.947,18.112,19,5,-91.33333333
125,123,78.72,6.99,69.175,11.247,19,5,-96.7
