id,x,y,serving id,serving Rx,neighbor id,neighbor Rx
0,61.4095319349,5.86807635369,2,-97.5165923044,1,-101.232460394
1,31.7790177666,24.2122939474,0,-100.559337606,1,-103.251399494
2,41.8876394857,1.42484063752,1,-102.685651995,0,-103.183423148
3,65.9613912305,3.12213412041,2,-96.9438473776,3,-99.1654814955
4,28.2803903241,0.0497493539552,0,-99.6020345471,1,-105.820973549
5,24.4164394071,23.0583415923,0,-98.6875514375,1,-105.360633306
6,60.0373422595,4.71267927638,2,-98.788337754,1,-101.289239074
7,78.9148710438,9.86661954093,3,-92.3331610487,4,-97.3053769023
8,60.6283654953,3.93241895521,2,-98.798615545,1,-101.729482985
9,100.323622167,18.9235731308,5,-81.0987366483,4,-101.997967632
10,72.5292675169,19.6984384002,2,-97.236498423,4,-98.3190543035
11,101.218095273,19.0214955067,5,-81.0345567204,4,-102.367460034
12,83.9819888548,11.7191414348,4,-94.7457531453,3,-97.1636303186
13,59.552502991,16.4774460943,1,-96.515541298,2,-98.6021093123
14,14.8724647299,24.304788998,0,-101.182129778,1,-107.560689875
15,76.2258417747,22.8389558182,4,-96.4931563851,2,-100.174018222
16,4.23462340865,3.63109313989,0,-103.655600155,1,-109.649574087
17,63.1526351186,20.7036494064,2,-98.7738550563,1,-99.2864565096
18,27.7649668739,14.0790840458,0,-91.1847172729,1,-104.359486001
19,2.9594537661,0.427400866273,0,-104.461466213,1,-109.972802278
20,75.6667225356,17.046113494,4,-95.6826879292,2,-96.9164143222
21,38.4573049332,2.05090978733,0,-101.9269027,1,-103.21841472
22,56.7200140399,22.7624409468,1,-95.450626858,2,-101.813007417
23,17.8590393213,9.19766893039,0,-95.4065302542,1,-107.068798462
24,24.9824078905,12.8377916493,0,-81.4034924268,1,-105.21260496
25,77.6553683427,18.7200147969,4,-93.3113536158,2,-98.8336682584
26,12.9173692726,17.4747720166,0,-99.6944697479,1,-107.834895628
27,87.0865156211,10.4829200944,4,-96.8953476631,3,-98.4934231566
28,84.3107671413,21.7077124131,4,-90.9205417834,5,-101.911919354
29,102.15454503,14.9922159903,5,-91.6162238294,4,-102.820791916
30,11.5928000863,10.177928736,0,-99.8093846852,1,-108.21991903
31,55.4803364076,12.4446244464,1,-95.1451107103,2,-100.270234007
32,2.81420767851,18.9204590266,0,-103.936133852,1,-109.544922671
33,3.37213809328,6.94003022775,0,-103.587024607,1,-109.646957052
34,43.7054465624,14.2040880955,1,-96.8329428089,0,-102.819643072
35,22.8936651618,10.2068337027,0,-87.1804328157,1,-105.896371723
36,37.4618506167,3.83721149122,0,-101.108694114,1,-102.977465736
37,51.8616249827,23.1026484576,1,-93.0689939575,2,-103.374311082
38,6.27920200362,25.1001949233,0,-103.838814431,1,-109.091436638
39,58.9748850621,4.68658444305,2,-99.3504196764,1,-101.039139291
40,1.16589502881,14.9102902126,0,-104.172921945,1,-109.801681289
41,97.2431966216,15.0088682787,5,-93.9281734849,4,-100.726735978
42,38.9361692628,22.5995987027,1,-100.049906806,0,-102.257573894
43,33.3237366639,3.09578021212,0,-99.6349294302,1,-104.187549983
44,63.1984429241,17.4814563938,2,-96.8585937558,1,-99.1259552445
45,89.5608908641,1.23258544741,3,-99.6892097423,4,-102.301047378
46,77.4923943079,11.4655212251,3,-94.2601073968,2,-96.5848741697
47,43.8200978735,18.0015236573,1,-95.9453580904,0,-103.151017531
48,69.2146077178,17.9117852792,2,-94.9566724665,4,-100.263247518
49,67.9639861435,3.65882033384,2,-96.0011800123,3,-97.7550743688
50,10.1641663414,25.597965092,0,-102.905529255,1,-108.464215991
51,58.7392181749,10.9597122195,1,-98.0172560001,2,-98.2504091706
52,75.0468453895,21.491495448,4,-96.8212950628,2,-99.1543209199
53,12.681365714,13.0061701368,0,-99.1124106919,1,-107.938709764
54,88.9188794956,6.2036713483,3,-98.8846317772,4,-100.039696371
55,74.6251784432,20.0126443237,4,-96.7728502131,2,-98.1670722272
56,11.5955818888,4.09240323349,0,-100.919414476,1,-108.501703442
57,42.9357886047,8.29186267944,1,-99.7947492867,0,-102.615034794
58,49.3051340945,3.34798384748,1,-100.799051437,2,-103.512502673
59,100.837955106,10.6002922295,5,-96.7828539973,4,-102.799888045
60,53.8820578878,11.348177182,1,-95.3709795191,2,-101.052616
61,62.005242859,25.8893219115,1,-99.9730277741,2,-101.522087808
62,29.1276401759,2.5945065128,0,-98.3049024004,1,-105.251647777
63,95.7473984725,20.686287307,5,-93.9046096014,4,-99.8921360436
64,78.8106118962,19.1452673078,4,-91.6775896037,2,-99.5482453058
65,75.193472639,8.89282337172,3,-91.5990678113,2,-94.7303484596
66,51.3795798512,5.75091821314,1,-99.4032140312,2,-102.49911266
67,86.5128426982,5.80047733026,3,-97.1257766051,4,-99.7564445102
68,64.1930312084,25.4464952627,1,-100.801991053,2,-100.934002837
69,96.4635911916,24.7757792783,5,-95.760986819,4,-100.944659239
70,72.9385871216,14.7500807975,2,-93.0521333909,3,-98.2421672485
71,25.1947205651,8.6190313767,0,-90.1387261248,1,-105.456230764
72,41.3968745429,5.27518951933,1,-101.469785173,0,-102.366842538
73,44.1004145671,20.8358723689,1,-96.1917192271,0,-103.594015001
74,81.1623355342,15.7532871139,4,-88.9939181481,3,-98.6048068199
75,95.9545334724,19.1872129001,5,-93.3515800507,4,-99.8894410821
76,13.0079302765,22.9206521909,0,-101.282402639,1,-107.87750019
77,57.2533540033,2.31212255264,2,-100.860539685,1,-101.696875707
78,20.64157922,9.83259954236,0,-91.7532716514,1,-106.439428127
79,24.0330853633,14.2654094633,0,-87.1895023913,1,-105.40227414
80,24.4671951433,18.8585221847,0,-95.1909889326,1,-105.222854638
81,91.9336605014,21.2989948713,4,-97.5851079208,5,-97.6523647165
82,29.8241455343,13.8667419814,0,-93.8924532701,1,-103.723838444
83,14.7906799356,17.8437037383,0,-98.7915316248,1,-107.468513141
84,33.1330358203,2.51707882562,0,-99.7983852035,1,-104.347578444
85,11.0615243612,17.5960397075,0,-100.637408662,1,-108.179888863
86,13.4406398556,14.8635553339,0,-98.8384850538,1,-107.75830814
87,60.6847634582,21.0604238287,1,-97.7436242158,2,-99.8468728486
88,79.384518567,4.1094644775,3,-86.9318621475,2,-99.5470876347
89,6.07670307938,20.4391756145,0,-103.081049396,1,-109.04472421
90,44.7321446191,1.43588178249,1,-102.183764532,0,-104.023173911
91,13.043154336,7.74356717653,0,-99.3330398707,1,-108.061528719
92,12.4658015542,22.5063046186,0,-101.336888263,1,-107.969274181
93,93.3936519855,5.47352873133,5,-101.2869242,3,-101.305228941
94,67.1122003032,25.8353508097,2,-100.778911674,1,-102.055135186
95,38.2074473386,20.8081037939,1,-100.159016847,0,-101.569399836
96,75.8966331971,0.151710491974,3,-93.5618489909,2,-99.8446579016
97,35.732959405,0.563222815995,0,-101.430550384,1,-104.188995026
98,61.5787191347,4.95769129502,2,-97.8325592648,3,-101.380754066
99,75.2469840336,8.56637744783,3,-91.0621101559,2,-94.9262934974
100,11.6800952578,13.2386892205,0,-99.7230528005,1,-108.117789146
101,82.9852913348,22.2167611947,4,-91.3994414977,2,-102.099087665
102,39.4088777849,11.1900716628,1,-100.305550042,0,-100.936149543
103,2.07477834708,25.2894930967,0,-104.939916335,1,-109.734137283
104,37.626271248,1.40610301315,0,-101.80759743,1,-103.576231282
105,33.8251632238,5.73389495358,0,-98.8478314125,1,-103.535803911
106,89.9487362185,2.75386172644,3,-99.6681401931,4,-101.776665683
107,69.6543884837,0.277965073499,3,-97.5010893037,2,-98.6204056977
108,43.6736309744,19.7365578498,1,-96.2705710476,0,-103.309107599
109,62.176658298,5.8008268361,2,-97.0526318099,3,-101.10053194
110,9.71855930368,15.1693698024,0,-100.911391462,1,-108.436131549
111,54.4289553807,9.67844421645,1,-97.0030181793,2,-100.826463361
112,89.7689018297,25.1880966418,4,-97.8079738753,5,-99.8783281381
113,44.62749324,21.5014037995,1,-95.9977034984,0,-103.846556785
114,38.1359235326,17.3822876647,1,-100.040259181,0,-100.803161598
115,94.3884930106,14.2242211276,5,-96.7301888361,4,-99.323906041
116,76.5968501641,17.1191307315,4,-94.6902402029,2,-97.5301575367
117,51.5034688358,9.08310995377,1,-97.0652777591,2,-102.168107305
118,77.8745686433,11.4114779754,3,-94.2035772396,4,-96.6583365278
119,18.0294469001,19.7855688788,0,-97.9801288701,1,-106.800373164
120,62.8638086428,22.1817537262,1,-99.3767115807,2,-99.6455824331
121,90.4427005009,24.8873208967,4,-98.0104827389,5,-99.4514633841
122,68.0383840479,10.6048713993,2,-82.9909592139,3,-98.5357429664
123,66.6344802293,5.07561592834,2,-94.9665143142,3,-98.5909073235
